match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Fri,42104,19:00 (20:00),Dash,2–0,Spirit,6012,BBVA Compass Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/c472965f/Houston-Dash-Washington-Spirit-April-10-2015-NWSL,c472965f
Regular Season,Sat,42105,19:00 (22:00),Thorns,4–1,Boston Breakers,13386,Providence Park,Margaret Domka,Match Report,https://fbref.com/en/matches/5d762423/Portland-Thorns-FC-Boston-Breakers-April-11-2015-NWSL,5d762423
Regular Season,Sun,42106,19:00 (22:00),Reign,5–1,WNY Flash,2642,,Christina Unkel,Match Report,https://fbref.com/en/matches/478694f8/Seattle-Reign-FC-Western-New-York-Flash-April-12-2015-NWSL,478694f8
Regular Season,Sun,42106,19:00 (20:00),Kansas City,0–1,Sky Blue FC,8489,Sporting Park,Christopher Spivey,Match Report,https://fbref.com/en/matches/c6e91034/FC-Kansas-City-Sky-Blue-FC-April-12-2015-NWSL,c6e91034
Regular Season,Sat,42112,0.791666667,Spirit,3–1,Kansas City,4136,Maureen Hendricks Field at Maryland Socc...,Mathew Richardson,Match Report,https://fbref.com/en/matches/6d73cf64/Washington-Spirit-FC-Kansas-City-April-18-2015-NWSL,6d73cf64
Regular Season,Sat,42112,0.791666667,Sky Blue FC,1–1,Dash,1742,,Elvis Mahmutovic,Match Report,https://fbref.com/en/matches/520134f4/Sky-Blue-FC-Houston-Dash-April-18-2015-NWSL,520134f4
Regular Season,Sat,42112,19:00 (22:00),Thorns,1–0,WNY Flash,13148,Providence Park,Karen Abt,Match Report,https://fbref.com/en/matches/170d1dda/Portland-Thorns-FC-Western-New-York-Flash-April-18-2015-NWSL,170d1dda
Regular Season,Sat,42112,19:00 (20:00),Red Stars,3–2,Reign,2368,,David Mon,Match Report,https://fbref.com/en/matches/c78c16a1/Chicago-Red-Stars-Seattle-Reign-FC-April-18-2015-NWSL,c78c16a1
Regular Season,Thu,42117,19:00 (20:00),Kansas City,1–0,Reign,2466,,Brandon Artis,Match Report,https://fbref.com/en/matches/9dcf496b/FC-Kansas-City-Seattle-Reign-FC-April-23-2015-NWSL,9dcf496b
Regular Season,Sun,42120,0.791666667,Sky Blue FC,1–3,Spirit,953,,Farhad Dadkho,Match Report,https://fbref.com/en/matches/3c2a99b1/Sky-Blue-FC-Washington-Spirit-April-26-2015-NWSL,3c2a99b1
Regular Season,Sat,42119,19:00 (20:00),Red Stars,2–2,Thorns,2136,,Levi Rippy,Match Report,https://fbref.com/en/matches/418e0e31/Chicago-Red-Stars-Portland-Thorns-FC-April-25-2015-NWSL,418e0e31
Regular Season,Sun,42120,0.791666667,Boston Breakers,3–2,Dash,2376,,Danielle Chesky,Match Report,https://fbref.com/en/matches/e4c6e5a2/Boston-Breakers-Houston-Dash-April-26-2015-NWSL,e4c6e5a2
Regular Season,Sat,42126,0.791666667,WNY Flash,3–1,Boston Breakers,1873,,Greg Dopka,Match Report,https://fbref.com/en/matches/e38fdb0f/Western-New-York-Flash-Boston-Breakers-May-2-2015-NWSL,e38fdb0f
