match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,4/13/19,19:00,Spirit,1.5,2–0,1,Sky Blue FC,"2,373",Maureen Hendricks Field Maryland SoccerP...,Natalie Simon,Match Report,https://fbref.com/en/matches/afcd583a/Washington-Spirit-Sky-Blue-FC-April-13-2019-NWSL,afcd583a
Regular Season,Sat,4/13/19,19:00,Courage,1.1,1–1,1.7,Red Stars,"4,053",Sahlen's Stadium at WakeMed Soccer Park,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/67a57f59/North-Carolina-Courage-Chicago-Red-Stars-April-13-2019-NWSL,67a57f59
Regular Season,Sun,4/14/19,17:00 (18:00),Dash,2.4,1–1,1.4,Reign,"4,335",BBVA Compass Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/c9ec6863/Houston-Dash-Reign-FC-April-14-2019-NWSL,c9ec6863
Regular Season,Sun,4/14/19,17:00,Pride,1.5,0–2,3,Thorns,"7,189",Orlando City Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/25004f7e/Orlando-Pride-Portland-Thorns-FC-April-14-2019-NWSL,25004f7e
Regular Season,Wed,4/17/19,19:00,Courage,2.6,5–0,0.4,Pride,"4,292",Sahlen's Stadium at WakeMed Soccer Park,Robinson Khongsai,Match Report,https://fbref.com/en/matches/9bf95ec5/North-Carolina-Courage-Orlando-Pride-April-17-2019-NWSL,9bf95ec5
Regular Season,Sat,4/20/19,14:30 (15:30),Red Stars,3.1,4–4,2.9,Thorns,"12,967",SeatGeek Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/70b9c1b6/Chicago-Red-Stars-Portland-Thorns-FC-April-20-2019-NWSL,70b9c1b6
Regular Season,Sat,4/20/19,18:00,Sky Blue FC,1.2,0–1,2.4,Dash,"1,394",The Soccer/Lacrosse Stadium at Yurcak Fi...,Robinson Khongsai,Match Report,https://fbref.com/en/matches/87083ab3/Sky-Blue-FC-Houston-Dash-April-20-2019-NWSL,87083ab3
Regular Season,Sat,4/20/19,19:00 (21:00),Royals,1.1,1–0,0.6,Spirit,"18,015",Rio Tinto Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/b66598e4/Utah-Royals-FC-Washington-Spirit-April-20-2019-NWSL,b66598e4
Regular Season,Sun,4/21/19,19:00 (22:00),Reign,0.9,1–1,0.5,Pride,"5,323",Cheney Stadium,Reyna Fonseca,Match Report,https://fbref.com/en/matches/ff7f188e/Reign-FC-Orlando-Pride-April-21-2019-NWSL,ff7f188e
Regular Season,Sat,4/27/19,19:30,Pride,0.8,0–1,1.8,Royals,"4,640",Orlando City Stadium,Jon Freemon,Match Report,https://fbref.com/en/matches/8780d6a5/Orlando-Pride-Utah-Royals-FC-April-27-2019-NWSL,8780d6a5
Regular Season,Sun,4/28/19,12:00 (13:00),Red Stars,2.9,3–0,1.5,Reign,"2,804",SeatGeek Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/b87d86b7/Chicago-Red-Stars-Reign-FC-April-28-2019-NWSL,b87d86b7
Regular Season,Sun,4/28/19,17:00 (18:00),Dash,0.9,1–4,3,Courage,"2,933",BBVA Compass Stadium,Rosendo Mendoza,Match Report,https://fbref.com/en/matches/ae49ad75/Houston-Dash-North-Carolina-Courage-April-28-2019-NWSL,ae49ad75
Regular Season,Sun,4/28/19,18:00,Sky Blue FC,1.3,2–2,1.6,Thorns,"1,321",The Soccer/Lacrosse Stadium at Yurcak Fi...,Reyna Fonseca,Match Report,https://fbref.com/en/matches/85ba8579/Sky-Blue-FC-Portland-Thorns-FC-April-28-2019-NWSL,85ba8579
Regular Season,Sat,5/4/19,19:00,Spirit,1,0–0,1.6,Reign,"2,097",Maureen Hendricks Field Maryland SoccerP...,Jasmine Peralta,Match Report,https://fbref.com/en/matches/af3f157d/Washington-Spirit-Reign-FC-May-4-2019-NWSL,af3f157d
