match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Preliminary Round,Sat,6/27/20,10:30 (12:30),Courage,2,2–1,1.8,Thorns,,Zions Bank Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/760a26e0/North-Carolina-Courage-Portland-Thorns-FC-June-27-2020-NWSL-Challenge-Cup,760a26e0
Preliminary Round,Sat,6/27/20,20:00 (22:00),Red Stars,1.4,1–2,2.9,Spirit,,Zions Bank Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/477d8522/Chicago-Red-Stars-Washington-Spirit-June-27-2020-NWSL-Challenge-Cup,477d8522
Preliminary Round,Tue,6/30/20,10:30 (12:30),Dash,1.4,3–3,1.8,Royals,,Zions Bank Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/da5a0e99/Houston-Dash-Utah-Royals-FC-June-30-2020-NWSL-Challenge-Cup,da5a0e99
Preliminary Round,Wed,7/1/20,10:30 (12:30),Thorns,1.1,0–0,0.3,Red Stars,,Zions Bank Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/722a085f/Portland-Thorns-FC-Chicago-Red-Stars-July-1-2020-NWSL-Challenge-Cup,722a085f
Preliminary Round,Tue,6/30/20,20:00 (22:00),Reign,1.6,0–0,0.7,Sky Blue FC,,Zions Bank Stadium,Michael Radchuk,Match Report,https://fbref.com/en/matches/93804b58/OL-Reign-Sky-Blue-FC-June-30-2020-NWSL-Challenge-Cup,93804b58
Preliminary Round,Wed,7/1/20,20:00 (22:00),Spirit,0.2,0–2,1.4,Courage,,Zions Bank Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/b4d1565f/Washington-Spirit-North-Carolina-Courage-July-1-2020-NWSL-Challenge-Cup,b4d1565f
Preliminary Round,Sat,7/4/20,10:30 (12:30),Royals,1.1,1–0,0.1,Sky Blue FC,,Zions Bank Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/26684b63/Utah-Royals-FC-Sky-Blue-FC-July-4-2020-NWSL-Challenge-Cup,26684b63
Preliminary Round,Sun,7/5/20,10:30 (12:30),Courage,1.7,1–0,0.7,Red Stars,,Zions Bank Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/67a5da46/North-Carolina-Courage-Chicago-Red-Stars-July-5-2020-NWSL-Challenge-Cup,67a5da46
Preliminary Round,Sat,7/4/20,20:00 (22:00),Dash,0.9,2–0,0.6,Reign,,Zions Bank Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/610f69dd/Houston-Dash-OL-Reign-July-4-2020-NWSL-Challenge-Cup,610f69dd
Preliminary Round,Sun,7/5/20,20:00 (22:00),Thorns,1.3,1–1,1,Spirit,,Zions Bank Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/74ed987d/Portland-Thorns-FC-Washington-Spirit-July-5-2020-NWSL-Challenge-Cup,74ed987d
Preliminary Round,Wed,7/8/20,10:30 (12:30),Royals,1,0–1,1.6,Reign,,Zions Bank Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/bfbad8e1/Utah-Royals-FC-OL-Reign-July-8-2020-NWSL-Challenge-Cup,bfbad8e1
Preliminary Round,Wed,7/8/20,20:00 (22:00),Sky Blue FC,1.1,2–0,0.2,Dash,,Zions Bank Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/3266a287/Sky-Blue-FC-Houston-Dash-July-8-2020-NWSL-Challenge-Cup,3266a287
Preliminary Round,Sun,7/12/20,10:30 (12:30),Spirit,1.3,1–0,0.4,Dash,,Zions Bank Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/b0f251bd/Washington-Spirit-Houston-Dash-July-12-2020-NWSL-Challenge-Cup,b0f251bd
Preliminary Round,Mon,7/13/20,10:30 (12:30),Reign,1,0–0,1,Thorns,,Zions Bank Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/705aeb44/OL-Reign-Portland-Thorns-FC-July-13-2020-NWSL-Challenge-Cup,705aeb44
Preliminary Round,Sun,7/12/20,20:00 (22:00),Red Stars,0.7,1–0,1,Royals,,Zions Bank Stadium,Michael Radchuk,Match Report,https://fbref.com/en/matches/6c66219b/Chicago-Red-Stars-Utah-Royals-FC-July-12-2020-NWSL-Challenge-Cup,6c66219b
Preliminary Round,Mon,7/13/20,20:00 (22:00),Sky Blue FC,0.4,0–2,1.5,Courage,,Zions Bank Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/338f179a/Sky-Blue-FC-North-Carolina-Courage-July-13-2020-NWSL-Challenge-Cup,338f179a
Quarter-finals,Fri,7/17/20,10:30 (12:30),Courage,1.9,0–1,1.6,Thorns,,Zions Bank Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/1ff4035b/North-Carolina-Courage-Portland-Thorns-FC-July-17-2020-NWSL-Challenge-Cup,1ff4035b
Quarter-finals,Sat,7/18/20,10:30 (12:30),Spirit,1.4,(3) 0–0 (4),0.8,Sky Blue FC,,Zions Bank Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/b4606770/Washington-Spirit-Sky-Blue-FC-July-18-2020-NWSL-Challenge-Cup,b4606770
Quarter-finals,Fri,7/17/20,20:00 (22:00),Dash,0.7,(3) 0–0 (2),0.3,Royals,,Zions Bank Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/5edbe8f5/Houston-Dash-Utah-Royals-FC-July-17-2020-NWSL-Challenge-Cup,5edbe8f5
Quarter-finals,Sat,7/18/20,20:00 (22:00),Reign,1.2,(3) 0–0 (4),1.7,Red Stars,,Zions Bank Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/8ecc4297/OL-Reign-Chicago-Red-Stars-July-18-2020-NWSL-Challenge-Cup,8ecc4297
Semi-finals,Wed,7/22/20,09:30 (12:30),Dash,0.7,1–0,0.9,Thorns,,Rio Tinto Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/2dc93287/Houston-Dash-Portland-Thorns-FC-July-22-2020-NWSL-Challenge-Cup,2dc93287
Semi-finals,Wed,7/22/20,20:00 (22:00),Red Stars,1.2,3–2,1.3,Sky Blue FC,,Rio Tinto Stadium,Lukasz Szpala,Match Report,https://fbref.com/en/matches/a172e221/Chicago-Red-Stars-Sky-Blue-FC-July-22-2020-NWSL-Challenge-Cup,a172e221
Final,Sun,7/26/20,10:30 (12:30),Dash,2,2–0,1.1,Red Stars,,Rio Tinto Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/cdde1e7a/Houston-Dash-Chicago-Red-Stars-July-26-2020-NWSL-Challenge-Cup,cdde1e7a
