player_id,player_name,nationality,born,player_url
64dbc61b,Lady Andrade,Lady Andrade,1992,https://fbref.com/en/players/64dbc61b/Lady-Andrade
097a7693,Andressinha,Andressinha,1995,https://fbref.com/en/players/097a7693/Andressinha
01e2b3bf,Jordan Angeli,Jordan Angeli,1986,https://fbref.com/en/players/01e2b3bf/Jordan-Angeli
332428f1,Nadine Angerer,Nadine Angerer,1978,https://fbref.com/en/players/332428f1/Nadine-Angerer
7af4865a,Leigh Ann Brown,Leigh Ann Brown,1986,https://fbref.com/en/players/7af4865a/Leigh-Ann-Brown
5abd4103,Genoveva Añonma,Genoveva Añonma,1987,https://fbref.com/en/players/5abd4103/Genoveva-Anonma
be56870b,Jazmyne Avant,Jazmyne Avant,1990,https://fbref.com/en/players/be56870b/Jazmyne-Avant
e4f80789,Yael Averbuch,Yael Averbuch,1986,https://fbref.com/en/players/e4f80789/Yael-Averbuch
54ff2521,Rachael Axon,Rachael Axon,1985,https://fbref.com/en/players/54ff2521/Rachael-Axon
e29e3055,Halimatu Ayinde,Halimatu Ayinde,1995,https://fbref.com/en/players/e29e3055/Halimatu-Ayinde
d75477b9,Allie Bailey,Allie Bailey,1993,https://fbref.com/en/players/d75477b9/Allie-Bailey
109f5c4c,Estefanía Banini,Estefanía Banini,1990,https://fbref.com/en/players/109f5c4c/Estefania-Banini
89b86077,Amy Barczuk,Amy Barczuk,1990,https://fbref.com/en/players/89b86077/Amy-Barczuk
380c9205,Lauren Barnes,Lauren Barnes,1989,https://fbref.com/en/players/380c9205/Lauren-Barnes
ad0f455b,Nicole Barnhart,Nicole Barnhart,1981,https://fbref.com/en/players/ad0f455b/Nicole-Barnhart
d708e965,Kate Bennett,Kate Bennett,,https://fbref.com/en/players/d708e965/Kate-Bennett
9e11e21d,Michelle Betos,Michelle Betos,1988,https://fbref.com/en/players/9e11e21d/Michelle-Betos
949f0d13,Bia,Bia,1985,https://fbref.com/en/players/949f0d13/Bia
0ac84745,Lynn Biyendolo,Lynn Biyendolo,1993,https://fbref.com/en/players/0ac84745/Lynn-Biyendolo
81330e2a,Brittany Bock,Brittany Bock,1987,https://fbref.com/en/players/81330e2a/Brittany-Bock
56a990cb,Liz Bogus,Liz Bogus,1984,https://fbref.com/en/players/56a990cb/Liz-Bogus
1ed0b2c4,Shannon Boxx,Shannon Boxx,1977,https://fbref.com/en/players/1ed0b2c4/Shannon-Boxx
f9f76078,Amber Brooks,Amber Brooks,1991,https://fbref.com/en/players/f9f76078/Amber-Brooks
610d853c,Ellie Brush,Ellie Brush,1988,https://fbref.com/en/players/610d853c/Ellie-Brush
6901b9c4,Jen Buczkowski,Jen Buczkowski,1985,https://fbref.com/en/players/6901b9c4/Jen-Buczkowski
a91d9194,Mariah Bullock,Mariah Bullock,1991,https://fbref.com/en/players/a91d9194/Mariah-Bullock
a2fb3efa,Brittany Cameron,Brittany Cameron,1986,https://fbref.com/en/players/a2fb3efa/Brittany-Cameron
ba4a4307,Camila,Camila,1994,https://fbref.com/en/players/ba4a4307/Camila
9ef5bf48,Steph Catley,Steph Catley,1994,https://fbref.com/en/players/9ef5bf48/Steph-Catley
c7541aff,Lori Chalupny,Lori Chalupny,1984,https://fbref.com/en/players/c7541aff/Lori-Chalupny
afcbf4d8,Allysha Chapman,Allysha Chapman,1989,https://fbref.com/en/players/afcbf4d8/Allysha-Chapman
5a405106,Josephine Chukwunonye,Josephine Chukwunonye,1992,https://fbref.com/en/players/5a405106/Josephine-Chukwunonye
5466991c,Whitney Church,Whitney Church,1993,https://fbref.com/en/players/5466991c/Whitney-Church
177040d4,Kaysie Clark,Kaysie Clark,1993,https://fbref.com/en/players/177040d4/Kaysie-Clark
24478b0c,Danielle Colaprico,Danielle Colaprico,1993,https://fbref.com/en/players/24478b0c/Danielle-Colaprico
17db9d7c,Taylor Comeau,Taylor Comeau,1993,https://fbref.com/en/players/17db9d7c/Taylor-Comeau
49fd636f,Rachel Corsie,Rachel Corsie,1989,https://fbref.com/en/players/49fd636f/Rachel-Corsie
88032c64,Stephanie Cox,Stephanie Cox,1986,https://fbref.com/en/players/88032c64/Stephanie-Cox
accb23bb,Niki Cross,Niki Cross,1985,https://fbref.com/en/players/accb23bb/Niki-Cross
db6fe165,Michelle Cruz,Michelle Cruz,1992,https://fbref.com/en/players/db6fe165/Michelle-Cruz
3b10df9c,Lindsi Cutshall,Lindsi Cutshall,1990,https://fbref.com/en/players/3b10df9c/Lindsi-Cutshall
b14d2016,Sabrina D'Angelo,Sabrina D'Angelo,1993,https://fbref.com/en/players/b14d2016/Sabrina-DAngelo
a6858188,Amanda DaCosta,Amanda DaCosta,1989,https://fbref.com/en/players/a6858188/Amanda-DaCosta
52b58405,Abby Dahlkemper,Abby Dahlkemper,1993,https://fbref.com/en/players/52b58405/Abby-Dahlkemper
d4247181,Kiersten Dallstream,Kiersten Dallstream,1988,https://fbref.com/en/players/d4247181/Kiersten-Dallstream
0fb66c70,Michele Dalton,Michele Dalton,1988,https://fbref.com/en/players/0fb66c70/Michele-Dalton
b28dae73,Jaelene Daniels,Jaelene Daniels,1993,https://fbref.com/en/players/b28dae73/Jaelene-Daniels
749960ec,Kim DeCesare,Kim DeCesare,1991,https://fbref.com/en/players/749960ec/Kim-DeCesare
287305e6,Laura del Río,Laura del Río,1983,https://fbref.com/en/players/287305e6/Laura-del-Rio
e940a089,Vanessa DiBernardo,Vanessa DiBernardo,1992,https://fbref.com/en/players/e940a089/Vanessa-DiBernardo
b574ff48,Theresa Diederich,Theresa Diederich,1992,https://fbref.com/en/players/b574ff48/Theresa-Diederich
a20c6459,Crystal Dunn,Crystal Dunn,1992,https://fbref.com/en/players/a20c6459/Crystal-Dunn
