Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,24-071,90,0,0,,,0,0,0,0,1,0,0,,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-167,77,0,0,,,1,0,0,0,1,0,1,,,,,,
Renae Cuéllar,23.0,mx MEX,FW,23-047,13,0,0,,,0,0,0,0,0,0,0,,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-158,90,0,0,,,0,0,0,0,1,0,0,,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-208,90,0,0,,,1,0,0,0,3,1,0,,,,,,
Jessica McDonald,22.0,us USA,FW,25-163,56,0,0,,,0,0,0,0,0,0,0,,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-308,34,0,0,,,0,0,0,0,2,0,0,,,,,,
Christine Nairn,19.0,us USA,MF,22-319,90,0,0,,,3,3,1,0,1,1,1,,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",28-036,90,0,0,,,8,2,0,0,1,1,0,,,,,,
Elli Reed,7.0,us USA,"DF,MF",24-000,90,0,0,,,1,0,0,0,0,1,0,,,,,,
Hope Solo,1.0,us USA,GK,32-011,90,0,0,,,0,0,0,0,0,0,0,,,,,,
Keelin Winters,11.0,us USA,MF,24-244,90,0,0,,,0,0,0,0,1,0,0,,,,,,
Emily Zurrer,2.0,ca CAN,DF,26-029,90,0,0,,,0,0,0,0,0,0,0,,,,,,
13 Players,,,,,990,0,0,,,14,5,1,0,11,4,2,,,,,,
