Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Bock,,us USA,"DF,MF",28-070,71,0,0,0,0,,,0,0,,,,,,,0,,
Rachael Axon,,eng ENG,MF,29-223,19,0,0,0,0,,,0,0,,,,,,,0,,
Ellie Brush,,au AUS,DF,26-305,90,0,1,0,0,,,0,0,,,,,,,0,,
Camila,,br BRA,"DF,MF",20-253,90,0,0,0,0,,,0,0,,,,,,,0,,
Niki Cross,,us USA,DF,30-021,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",25-301,75,0,1,0,0,,,0,0,,,,,,,0,,
Allie Bailey,,us USA,FW,21-269,15,0,0,0,0,,,0,0,,,,,,,0,,
Bianca Henninger,,mx MEX,GK,24-241,90,0,0,0,0,,,0,0,,,,,,,0,,
Ella Masar,,us USA,FW,29-078,90,0,0,0,0,,,1,0,,,,,,,0,,
Tiffany McCarty,,us USA,FW,24-188,81,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Jackson,,us USA,MF,24-274,9,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,,us USA,FW,27-112,90,1,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,,us USA,DF,25-121,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,,us USA,"FW,MF",23-140,90,1,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
