Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",27-238,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nicole Barnhart,,us USA,GK,32-184,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Liz Bogus,,us USA,"FW,MF",30-047,67,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Morgan Marlborough,,us USA,FW,23-130,23,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",29-008,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",26-194,90,0,0,0,0,4,2,0,0,2,0,,,,,0,,
Kassey Kallman,,us USA,DF,21-341,90,0,1,0,0,1,0,0,0,1,1,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",23-284,78,0,0,0,0,1,1,0,0,1,0,,,,,0,,
Jenna Richmond,,us USA,MF,22-115,12,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Nikki Phillips,,pl POL,"DF,MF",26-324,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",27-054,90,1,0,0,0,6,4,0,0,0,1,,,,,0,,
Becky Sauerbrunn,,us USA,DF,28-310,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",22-248,90,0,0,0,0,1,1,0,0,1,3,,,,,0,,
13 Players,,,,,990,1,1,0,0,14,9,0,0,7,8,,,,,0,,
