Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,9.0,us USA,"FW,MF",26-325,83,0,1,0,0,4,2,0,0,1,0,0,4,,,,,
Mónica Ocampo,8.0,mx MEX,FW,26-113,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brittany Cameron,1.0,us USA,GK,26-145,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lisa De Vanna,11.0,au AUS,FW,28-164,89,0,1,0,0,4,3,0,0,0,3,1,0,,,,,
Maddie Thompson,25.0,us USA,DF,23-003,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Caitlin Foord,4.0,au AUS,"DF,FW",18-167,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Katy Freels,23.0,us USA,MF,23-019,60,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Taylor Lytle,6.0,us USA,MF,24-027,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CoCo Goodson,2.0,us USA,DF,22-312,90,1,0,0,0,2,1,0,0,0,0,0,0,,,,,
Kendall Johnson,5.0,us USA,"DF,MF",22-003,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Manya Makoski,22.0,us USA,MF,29-009,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Kelley O'Hara,19.0,us USA,"DF,FW",24-266,90,0,0,0,0,7,3,1,0,3,2,1,0,,,,,
Christie Pearce,3.0,us USA,DF,37-307,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sophie Schmidt,16.0,ca CAN,MF,24-303,90,1,0,0,0,1,1,0,0,1,0,0,0,,,,,
14 Players,,,,,990,2,2,0,0,18,10,1,0,7,6,2,4,,,,,
