Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-185,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-231,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim DeCesare,,us USA,"FW,MF",23-299,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-059,80,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,,us USA,MF,24-223,10,0,0,0,0,,,0,0,,,,,,,0,,
Shawna Gordon,,us USA,MF,25-139,54,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,,us USA,MF,22-314,36,0,0,0,0,,,0,0,,,,,,,0,,
Kristin Grubka,,us USA,DF,22-171,90,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,,us USA,FW,23-072,90,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-043,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,,us USA,MF,26-067,90,0,0,0,0,,,0,0,,,,,,,0,,
Hayley McCall,,us USA,DF,23-084,90,0,0,0,0,,,0,0,,,,,,,0,,
Meg Morris,,us USA,MF,23-026,66,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,,us USA,MF,22-080,24,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
