Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,26-203,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,AM,26-147,90,1,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,AM,23-128,63,0,0,0,0,,,0,0,,,,,,,0,,
Veronica Latsko,12.0,us USA,"FW,MF",22-197,27,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,23.0,us USA,AM,25-195,90,1,0,1,1,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,DM,27-155,90,0,0,0,0,,,0,0,,,,,,,0,,
Linda Motlhalo,10.0,za RSA,DM,19-361,86,0,1,0,0,,,0,0,,,,,,,0,,
Savannah Jordan,13.0,us USA,FW,23-154,4,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,4.0,ca CAN,LB,29-153,90,0,0,0,0,,,1,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,31-071,89,0,0,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,20.0,ca CAN,FW,23-088,1,0,0,0,0,,,0,0,,,,,,,0,,
Clare Polkinghorne,8.0,au AUS,CB,29-146,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,21.0,us USA,RB,24-341,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-130,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,1,1,,,1,0,,,,,,,0,,
