Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,FW,24-126,90,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,FW,30-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,8.0,ie IRL,FW,23-232,71,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,"FW,MF",25-339,19,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,CM,25-160,90,0,1,0,0,,,0,0,,,,,,,0,,
Ashley Hatch,12.0,us USA,CM,22-122,64,1,0,0,0,,,0,0,,,,,,,0,,
Makenzy Doniak,3.0,us USA,"FW,MF",23-211,26,0,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,DM,24-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-119,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,27-308,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-134,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,11.0,us USA,RB,23-297,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,99.0,us USA,GK,23-192,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
