Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,34-033,90,0,0,0,0,,,0,0,,,,,,,0,,
Tyler Lussi,34.0,us USA,AM,22-170,79,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,"DF,FW",23-102,11,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,AM,22-313,83,1,0,0,0,,,1,0,,,,,,,0,,
Kelli Hubly,20.0,us USA,DF,22-340,7,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,AM,25-212,74,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Cox,27.0,us USA,DF,22-242,16,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,DM,23-050,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,DM,29-336,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,28-347,90,0,1,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-352,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-232,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,RB,23-086,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-245,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
