Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lori Chalupny,17.0,us USA,MF,29-172,90,0,0,0,0,7,3,0,0,1,1,0,0,,,,,
Maribel Domínguez,9.0,mx MEX,FW,34-244,54,0,0,0,0,2,1,0,0,0,2,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-108,36,0,0,0,0,2,1,0,0,0,0,1,0,,,,,
Sonja Fuss,22.0,de GER,DF,34-257,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-262,81,0,0,0,0,3,0,0,0,0,0,1,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-356,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Adriana Leon,16.0,ca CAN,"FW,MF",20-291,90,0,0,0,0,1,0,0,0,3,0,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-078,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Erin McLeod,1.0,ca CAN,GK,30-144,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Leslie Osborne,12.0,us USA,MF,30-054,90,0,0,0,0,1,1,0,0,1,1,0,0,,,,,
Rachel Quon,11.0,ca CAN,DF,22-060,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-203,90,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-305,90,0,0,0,0,2,1,1,0,3,0,0,0,,,,,
13 Players,,,,,990,0,0,0,0,21,7,1,0,10,5,2,0,,,,,
