Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nadine Angerer,,de GER,GK,35-259,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Verónica Boquete,,es ESP,"FW,MF",27-109,90,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Amber Brooks,,us USA,"DF,MF",23-185,70,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Meleana Shim,,us USA,MF,22-305,20,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Steph Catley,,au AUS,"DF,MF",20-182,90,0,0,0,0,1,1,0,0,1,1,,,,,0,,
Sarah Huffman,,us USA,MF,30-144,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Allie Long,,us USA,"FW,MF",26-348,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nikki Marshall,,us USA,"DF,FW",26-055,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Emily Menges,,us USA,DF,21-364,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alex Morgan,,us USA,FW,25-025,82,0,0,0,0,3,2,0,0,0,0,,,,,0,,
Hanna Terry,,us USA,FW,23-240,8,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",31-045,90,0,0,0,0,2,2,0,0,1,1,,,,,0,,
Rachel Van Hollebeke,,us USA,DF,28-335,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jessica McDonald,,us USA,FW,26-149,45,0,0,0,0,1,0,0,0,2,0,,,,,0,,
14 Players,,,,,990,0,0,0,0,9,6,0,0,7,4,,,,,0,,
