Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,18.0,us USA,GK,28-123,90,,,,,,,,,0,1,,,,,,,
Lindsey Heaps,7.0,us USA,"FW,MF",22-027,90,0.0,0.0,,,3.0,1.0,,,3,1,0.0,,,,,,
Tobin Heath,17.0,us USA,"FW,MF",28-024,90,0.0,0.0,,,2.0,1.0,,,2,0,0.0,,,,,,
Amandine Henry,28.0,fr FRA,MF,26-268,68,0.0,1.0,,,2.0,0.0,,,1,2,0.0,,,,,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,24-317,22,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Meghan Klingenberg,25.0,us USA,"DF,MF",27-325,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Allie Long,10.0,us USA,"FW,MF",28-314,90,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Emily Menges,4.0,us USA,DF,23-330,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Nadia Nadim,9.0,dk DEN,"FW,MF",28-172,78,1.0,0.0,,,2.0,1.0,,,1,1,0.0,,,,,,
Mallory Weber,26.0,us USA,"DF,FW",22-079,12,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Katherine Reynolds,2.0,us USA,DF,28-282,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",33-010,84,1.0,0.0,,,2.0,1.0,,,2,1,0.0,,,,,,
Hayley Raso,21.0,au AUS,"FW,MF",21-291,6,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Emily Sonnett,16.0,us USA,"DF,MF",22-210,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,2.0,1.0,,,13.0,4.0,,,12,9,0.0,,,,,,
