Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,8.0,es ESP,FW,26-185,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Adrianna Franch,24.0,us USA,GK,22-180,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Estelle Johnson,12.0,cm CMR,DF,24-294,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Sam Kerr,4.0,au AUS,"FW,MF",19-243,81,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Laura Heyboer,11.0,us USA,"FW,MF",23-295,9,0,0,0,0,0,0,0,0,2,1,0,0,,,,,
Brittany Kolmel,13.0,us USA,DF,25-235,90,0,0,0,0,0,0,1,0,1,0,0,0,,,,,
Verónica Pérez,17.0,mx MEX,"DF,MF",24-358,63,0,1,0,0,0,0,0,0,0,1,0,0,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",30-299,27,0,0,0,0,3,2,0,0,1,1,0,0,,,,,
Katherine Reynolds,16.0,us USA,DF,25-239,74,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bryanna McCarthy,3.0,ca CAN,DF,21-210,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Sahlen,2.0,us USA,DF,30-228,90,0,0,0,0,0,0,0,0,0,1,1,0,,,,,
Angela Salem,6.0,us USA,"FW,MF",24-291,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Abby Wambach,20.0,us USA,FW,32-343,90,2,0,0,0,4,4,0,0,0,2,0,0,,,,,
McCall Zerboni,7.0,us USA,MF,26-149,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
14 Players,,,,,990,2,1,0,0,9,6,1,0,7,7,1,0,,,,,
