Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Mallory Swanson,11.0,us USA,FW,19-070,90,2,0,1,1,,,0,0,,,,,,,0,,
Francisca Ordega,14.0,ng NGA,FW,23-262,90,0,1,0,0,,,0,0,,,,,,,0,,
Estefanía Banini,10.0,ar ARG,LM,27-017,90,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,21-346,81,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,"DF,MF",26-133,9,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,27-288,90,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,RM,24-135,63,0,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,FW,23-240,27,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,LB,25-063,90,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-257,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-069,90,0,0,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,RB,28-352,73,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,DF,23-323,17,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Labbé,1.0,ca CAN,GK,30-271,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,1,1,,,0,0,,,,,,,0,,
