Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,26-198,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,LW,26-142,90,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,23.0,us USA,AM,25-190,90,1,0,0,0,,,0,0,,,,,,,0,,
Linda Motlhalo,10.0,za RSA,AM,19-356,90,0,0,0,0,,,0,0,,,,,,,0,,
Kyah Simon,17.0,au AUS,RW,26-362,88,0,0,0,0,,,1,0,,,,,,,0,,
Veronica Latsko,12.0,us USA,"FW,MF",22-192,2,0,0,0,0,,,0,0,,,,,,,0,,
Clare Polkinghorne,8.0,au AUS,DM,29-141,68,0,0,0,0,,,0,0,,,,,,,0,,
Thembi Kgatlana,11.0,za RSA,FW,22-051,22,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,4.0,ca CAN,LB,29-148,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,31-066,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,CB,27-150,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,21.0,us USA,RB,24-336,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-125,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
