Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,24-337,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Stephanie Cox,,us USA,DF,28-030,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Jess Fishlock,,wls WAL,MF,27-109,90,1,1,0,0,2,1,0,0,1,3,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",29-178,90,0,0,0,0,1,1,0,0,0,1,,,,,0,,
Nahomi Kawasumi,,jp JPN,"FW,MF",28-222,90,0,0,0,0,3,2,0,0,0,0,,,,,0,,
Sydney Leroux,,us USA,"FW,MF",23-361,90,1,0,0,0,3,2,0,0,0,1,,,,,0,,
Kim Little,,sct SCO,"FW,MF",23-308,89,0,0,0,0,2,1,0,0,1,1,,,,,0,,
Kate Deines,,us USA,"DF,MF",24-228,1,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Elli Reed,,us USA,"DF,MF",24-266,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Hope Solo,,us USA,GK,32-277,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Keelin Winters,,us USA,MF,25-145,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",25-288,60,0,0,0,0,3,1,0,0,0,1,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",24-175,30,0,0,0,0,0,0,0,0,0,0,,,,,0,,
13 Players,,,,,990,2,1,0,0,15,8,0,0,3,9,,,,,0,,
