Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danica Evans,8.0,us USA,FW,21-339,63,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,"DF,FW",26-253,27,0,1,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,FW,31-077,90,1,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,FW,29-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,18.0,us USA,CM,26-016,81,0,0,0,0,,,1,0,,,,,,,0,,
Jamia Fields,4.0,us USA,FW,23-225,9,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CM,39-033,4,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,MF,23-051,87,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,CM,22-209,90,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-101,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CB,27-077,90,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CB,22-106,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,32-283,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,31-200,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,991,1,1,0,0,,,1,0,,,,,,,0,,
