Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Zakiya Bywaters,6.0,us USA,FW,21-292,90,0,0,0,0,2,1,0,0,3,0,0,0,,,,,
Lori Chalupny,17.0,us USA,MF,29-103,90,0,0,0,0,2,1,0,0,1,3,1,0,,,,,
Lauren Fowlkes,15.0,us USA,"DF,FW",24-310,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Taryn Hemmings,14.0,us USA,"DF,FW",27-016,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-039,28,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-287,62,0,0,0,0,1,0,1,0,2,0,0,0,,,,,
Erin McLeod,1.0,ca CAN,GK,30-075,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Carmelina Moscato,5.0,ca CAN,DF,29-010,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Leslie Osborne,12.0,us USA,MF,29-350,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jessica McDonald,8.0,us USA,FW,25-073,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rachel Quon,11.0,ca CAN,DF,21-356,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-236,45,0,0,0,0,1,1,0,0,1,0,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-134,45,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-130,90,0,0,0,0,1,1,0,0,1,1,0,0,,,,,
14 Players,,,,,990,0,0,0,0,10,4,1,0,12,4,1,0,,,,,
