Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Tyler Lussi,34.0,us USA,FW,22-191,59,1,1,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,MF,27-311,31,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,22-334,90,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,AM,34-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,DM,25-360,74,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,"FW,MF",29-357,16,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,DM,23-071,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,DM,25-233,89,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,"DF,MF",23-107,1,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,29-003,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,25-008,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-253,90,1,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,RB,29-325,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-266,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,0,0,,,,,,,0,,
