Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,25-242,90,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,FW,22-167,89,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Hagen,9.0,us USA,FW,27-260,1,0,0,0,0,,,0,0,,,,,,,0,,
Carli Lloyd,10.0,us USA,AM,35-020,90,1,0,1,1,,,1,0,,,,,,,0,,
Caity Heap,27.0,,DM,22-360,60,0,0,0,0,,,1,0,,,,,,,0,,
Andressinha,17.0,br BRA,MF,22-096,30,0,0,0,0,,,0,0,,,,,,,0,,
Cami Privett,23.0,us USA,DM,24-142,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine Sonis,16.0,ca CAN,DM,22-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,22.0,us USA,LB,27-103,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,55.0,za RSA,CB,30-110,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,12.0,us USA,CB,26-194,90,0,0,0,0,,,0,0,,,,,,,0,,
Poliana,2.0,br BRA,RB,26-180,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,22-169,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,1,1,,,2,0,,,,,,,0,,
