Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,,us USA,DF,28-245,90,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",23-261,88,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Angie Kerr,,us USA,"FW,MF",28-121,2,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Tobin Heath,,us USA,"FW,MF",25-060,90,0,2,0,0,3,1,1,0,3,2,,,,,0,,
Karina LeBlanc,,ca CAN,GK,33-120,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Allie Long,,us USA,"FW,MF",25-349,90,0,0,0,0,0,0,0,0,0,3,,,,,0,,
Nikki Marshall,,us USA,"DF,FW",25-056,71,0,0,0,0,1,0,0,0,2,2,,,,,0,,
Emilee O'Neil,,us USA,"DF,MF",30-124,19,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alex Morgan,,us USA,FW,24-026,73,0,1,0,0,2,0,1,0,2,3,,,,,0,,
Tiffany Weimer,,us USA,FW,29-235,17,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Meleana Shim,,us USA,MF,21-306,90,1,0,0,0,2,1,0,0,0,0,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",30-046,90,2,0,0,0,3,2,0,0,1,1,,,,,0,,
Rachel Van Hollebeke,,us USA,DF,27-336,90,0,0,0,0,0,0,0,0,1,2,,,,,0,,
Kat Williamson,,us USA,DF,23-361,90,0,0,0,0,0,0,0,0,2,0,,,,,0,,
14 Players,,,,,990,3,3,0,0,16,5,2,0,11,15,,,,,0,,
