Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adrianna Franch,24.0,us USA,GK,22-241,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sarah Huffman,14.0,us USA,MF,29-128,69,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Verónica Pérez,17.0,mx MEX,"DF,MF",25-054,21,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Estelle Johnson,12.0,cm CMR,DF,24-355,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Sam Kerr,4.0,au AUS,"FW,MF",19-304,82,0,0,0,0,1,0,0,0,1,1,1,0,,,,,
Jodi-Ann Robinson,23.0,ca CAN,"FW,MF",24-085,8,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Brittany Kolmel,13.0,us USA,DF,25-296,90,0,1,0,0,1,1,0,0,0,1,0,0,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",30-360,90,0,0,0,0,4,3,1,0,3,0,0,0,,,,,
Katherine Reynolds,16.0,us USA,DF,25-300,90,0,0,0,0,0,0,0,0,4,1,0,0,,,,,
Alex Sahlen,2.0,us USA,DF,30-289,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Angela Salem,6.0,us USA,"FW,MF",24-352,90,0,0,0,0,2,0,0,0,1,2,0,0,,,,,
Abby Wambach,20.0,us USA,FW,33-039,90,2,0,1,1,7,5,0,0,3,1,0,0,,,,,
McCall Zerboni,7.0,us USA,MF,26-210,85,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Ingrid Wells,9.0,us USA,MF,24-104,5,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,2,1,1,1,19,10,1,0,14,9,2,0,,,,,
