Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nina Burger,,at AUT,FW,26-147,45,0,0,0,0,1,0,0,0,1,2,,,,,0,,
Ella Masar,,us USA,FW,28-050,45,1,0,0,0,2,2,1,0,1,0,,,,,0,,
Marissa Diggs,,us USA,DF,22-045,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Becky Edwards,,us USA,"DF,MF",26-001,90,0,1,0,1,1,1,0,0,1,1,,,,,0,,
Jordan Jackson,,us USA,MF,23-246,41,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Teresa Noyola,,mx MEX,"FW,MF",24-038,49,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Kaylyn Kyle,,ca CAN,MF,25-229,90,0,0,0,0,0,0,0,0,1,2,,,,,0,,
Tiffany McCarty,,us USA,FW,23-160,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Erin McLeod,,ca CAN,GK,31-086,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Stephanie Ochs,,us USA,FW,23-267,90,0,0,0,0,2,0,0,0,0,1,,,,,0,,
Osinachi Ohale,,ng NGA,DF,21-217,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Arianna Romero,,mx MEX,DF,21-298,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Kealia Watt,,us USA,"FW,MF",22-112,59,0,0,0,0,2,0,0,0,0,1,,,,,0,,
Rafaelle,,br BRA,"DF,FW",22-339,31,0,0,0,0,1,1,0,0,1,0,,,,,0,,
14 Players,,,,,990,1,1,0,1,9,4,1,0,6,11,,,,,0,,
