Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sydney Leroux,14.0,us USA,FW,27-020,90,2,0,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,AM,23-109,64,0,2,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,"DF,MF",23-042,26,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,2.0,us USA,AM,24-084,75,0,1,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,DF,22-148,15,0,0,0,0,,,0,0,,,,,,,0,,
Alexa Newfield,88.0,us USA,AM,25-175,69,0,0,0,0,,,2,1,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,29-300,90,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,DM,24-070,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,32-021,82,0,0,0,0,,,0,0,,,,,,,0,,
Caroline Flynn,21.0,us USA,MF,,8,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,10.0,us USA,CB,30-205,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,31-355,90,1,0,0,0,,,0,0,,,,,,,0,,
Brittany Kolmel,13.0,us USA,RB,29-251,90,0,0,0,0,,,1,0,,,,,,,0,,
Nicole Barnhart,18.0,us USA,GK,35-229,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,969,3,3,0,0,,,3,1,,,,,,,0,,
