Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,,us USA,"DF,MF",27-204,90,0,0,0,0,0,0,0,0,3,0,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",21-327,90,0,0,0,0,1,1,0,0,1,1,,,,,0,,
Robyn Gayle,,ca CAN,DF,28-207,57,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Bianca Sierra,,mx MEX,DF,21-335,33,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Ashlyn Harris,,us USA,GK,28-219,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Tori Huster,,us USA,"DF,MF",24-245,90,0,0,0,0,1,1,0,0,1,2,,,,,0,,
Ali Krieger,,us USA,"DF,MF",29-302,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lori Lindsey,,us USA,MF,34-068,90,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Diana Matheson,,ca CAN,MF,30-050,90,1,0,0,1,4,3,0,0,0,0,,,,,0,,
Christine Nairn,,us USA,MF,23-243,90,1,1,0,0,2,2,0,0,0,0,,,,,0,,
Verónica Pérez,,mx MEX,"DF,MF",26-008,45,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Danesha Adams,,us USA,"FW,MF",27-354,45,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Jodie Taylor,,eng ENG,FW,28-009,90,1,0,0,0,7,1,0,0,1,1,,,,,0,,
13 Players,,,,,990,3,1,0,1,17,9,0,0,8,6,,,,,0,,
