Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Stephanie Cox,,us USA,DF,28-086,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kate Deines,,us USA,"DF,MF",24-284,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Jess Fishlock,,wls WAL,MF,27-165,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",29-234,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Nahomi Kawasumi,,jp JPN,"FW,MF",28-278,82,0,0,0,0,4,4,0,0,0,1,,,,,0,,
Kiersten Dallstream,,us USA,"DF,FW",26-115,8,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-000,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Sydney Leroux,,us USA,"FW,MF",24-052,90,0,0,0,0,4,1,0,0,0,0,,,,,0,,
Kim Little,,sct SCO,"FW,MF",23-364,90,0,0,0,0,1,1,0,0,1,0,,,,,0,,
Elli Reed,,us USA,"DF,MF",24-322,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Keelin Winters,,us USA,MF,25-201,90,0,0,0,0,0,0,0,0,3,1,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",25-344,85,0,0,0,0,2,0,0,0,2,1,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",24-231,5,0,0,0,0,0,0,0,0,1,0,,,,,0,,
13 Players,,,,,990,0,0,0,0,12,6,0,0,9,4,,,,,0,,
