Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,9.0,us USA,"FW,MF",27-073,75,0,0,0,0,2,1,0,0,0,0,0,0,,,,,
Melanie Booth,13.0,ca CAN,DF,28-359,15,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Brittany Cameron,1.0,us USA,GK,26-258,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Katy Freels,17.0,us USA,MF,23-132,90,0,0,0,0,2,1,0,0,1,0,0,0,,,,,
CoCo Goodson,2.0,us USA,DF,23-060,90,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Kendall Johnson,5.0,us USA,"DF,MF",22-116,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Taylor Lytle,6.0,us USA,MF,24-140,90,1,0,0,0,4,2,0,0,0,0,0,0,,,,,
Manya Makoski,22.0,us USA,MF,29-122,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Ashley Nick,12.0,us USA,MF,25-295,90,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Mónica Ocampo,8.0,mx MEX,FW,26-226,90,0,0,0,0,2,0,0,0,0,1,2,0,,,,,
Christie Pearce,3.0,us USA,DF,38-055,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Sophie Schmidt,16.0,ca CAN,MF,25-051,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nayeli Rangel,7.0,mx MEX,MF,21-171,38,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Maddie Thompson,25.0,us USA,DF,23-116,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,1,0,0,0,13,4,0,0,3,4,3,0,,,,,
