Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachael Axon,,eng ENG,MF,29-245,45,0,0,0,0,,,0,0,,,,,,,0,,
Allie Bailey,,us USA,FW,21-291,45,0,0,0,0,,,0,0,,,,,,,0,,
Ellie Brush,,au AUS,DF,26-327,90,0,0,0,0,,,1,0,,,,,,,0,,
Camila,,br BRA,"DF,MF",20-275,76,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Jackson,,us USA,MF,24-296,14,0,0,0,0,,,0,0,,,,,,,0,,
Niki Cross,,us USA,DF,30-043,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",25-323,90,0,0,0,0,,,0,0,,,,,,,0,,
Ella Masar,,us USA,FW,29-100,65,0,0,0,0,,,0,0,,,,,,,0,,
Jen LaPonte,,us USA,DF,26-009,25,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany McCarty,,us USA,FW,24-210,90,1,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,,us USA,FW,27-134,90,0,0,0,0,,,0,0,,,,,,,0,,
Erin McLeod,,ca CAN,GK,32-136,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,,us USA,DF,25-143,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,,us USA,"FW,MF",23-162,90,0,1,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
