Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,24-029,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-125,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Kennya Cordner,26.0,tt TRI,FW,24-230,53,0,0,0,0,1,0,0,0,1,2,0,0,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",27-359,37,1,0,0,0,2,2,0,0,2,0,2,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-116,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-285,90,0,0,0,0,0,0,0,0,5,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-166,81,1,0,0,0,4,2,0,0,1,0,1,0,,,,,
Teresa Noyola,8.0,mx MEX,"FW,MF",23-075,9,0,0,0,0,0,0,0,0,0,1,1,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-266,90,1,0,1,1,3,2,0,0,2,0,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-277,90,0,2,0,0,1,0,0,0,0,0,1,0,,,,,
Elli Reed,7.0,us USA,"DF,MF",23-323,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Hope Solo,1.0,us USA,GK,31-334,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-202,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
13 Players,,,,,990,3,2,1,1,13,7,0,0,11,7,5,0,,,,,
