Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lori Chalupny,17.0,us USA,MF,29-151,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Sonja Fuss,22.0,de GER,DF,34-236,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-241,90,0,0,0,0,4,4,0,0,1,3,0,0,,,,,
Taryn Hemmings,14.0,us USA,"DF,FW",27-064,90,0,0,0,0,1,1,0,0,0,1,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-057,90,1,0,0,0,2,1,0,0,1,0,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-087,54,0,0,0,0,0,0,0,0,3,0,0,0,,,,,
Maribel Domínguez,9.0,mx MEX,FW,34-223,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-335,90,0,0,0,0,1,1,0,0,1,1,1,0,,,,,
Erin McLeod,1.0,ca CAN,GK,30-123,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Leslie Osborne,12.0,us USA,MF,30-033,64,0,0,0,0,1,1,0,0,1,1,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-284,26,0,1,0,0,1,1,0,0,0,0,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-182,90,0,0,0,0,1,0,0,0,0,2,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-178,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rachel Quon,11.0,ca CAN,DF,22-039,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,1,1,0,0,11,9,0,0,8,10,1,0,,,,,
