Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,27-088,90,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Jess Fishlock,10.0,wls WAL,MF,29-226,90,0.0,1.0,,,2.0,0.0,,,1,0,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-295,90,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Nahomi Kawasumi,36.0,jp JPN,"FW,MF",30-339,77,0.0,1.0,,,1.0,1.0,,,0,1,1.0,,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",31-053,13,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Haley Kopmeyer,28.0,us USA,GK,26-060,90,,,,,,,,,0,0,,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",26-059,90,0.0,0.0,,,1.0,0.0,,,0,3,1.0,,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",26-056,90,0.0,0.0,,,2.0,1.0,,,2,2,1.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",29-362,75,2.0,0.0,,,5.0,3.0,,,1,1,0.0,,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",28-175,15,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Rumi Utsugi,20.0,jp JPN,MF,27-266,90,0.0,0.0,,,2.0,0.0,,,1,2,1.0,,,,,,
Keelin Winters,11.0,us USA,MF,27-262,88,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Carson Pickett,16.0,us USA,DF,22-347,2,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
13 Players,,,,,900,3.0,2.0,,,16.0,6.0,,,9,13,4.0,,,,,,
