Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Allie Long,10.0,us USA,FW,30-028,89,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,26-031,1,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,AM,29-251,74,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,"DF,FW",23-159,16,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,AM,23-005,90,0,1,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,AM,34-090,90,1,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,DM,23-107,90,0,0,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,DM,27-347,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,29-039,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,CB,23-143,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-289,90,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,RB,29-361,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-302,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
