Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Maya Hayes,5.0,us USA,FW,25-097,90,0,1,0,0,,,0,0,,,,,,,0,,
Sam Kerr,20.0,au AUS,FW,23-294,90,1,0,0,0,,,0,0,,,,,,,0,,
Madison Tiernan,73.0,us USA,LM,21-363,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,CM,24-339,90,0,0,0,0,,,0,0,,,,,,,0,,
Raquel Rodríguez,11.0,cr CRC,CM,23-246,62,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,7.0,us USA,MF,26-248,28,0,0,0,0,,,0,0,,,,,,,0,,
Daphne Corboz,10.0,us USA,RM,24-017,90,0,0,0,0,,,0,0,,,,,,,0,,
Erin Simon,33.0,us USA,LB,22-316,24,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,DF,22-100,66,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,3.0,us USA,CB,42-007,90,0,0,0,0,,,0,0,,,,,,,0,,
Erica Skroski,8.0,us USA,CB,23-137,77,0,0,0,0,,,1,0,,,,,,,0,,
Leah Galton,21.0,eng ENG,"FW,MF",23-038,13,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,19.0,us USA,RB,28-331,90,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,21-350,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
