Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachael Axon,,eng ENG,MF,29-230,78,0,0,0,0,,,0,0,,,,,,,0,,
Allie Bailey,,us USA,FW,21-276,12,0,0,0,0,,,0,0,,,,,,,0,,
Ellie Brush,,au AUS,DF,26-312,90,0,0,0,0,,,1,0,,,,,,,0,,
Camila,,br BRA,"DF,MF",20-260,67,0,0,0,0,,,1,0,,,,,,,0,,
Jen LaPonte,,us USA,DF,25-359,23,0,0,0,0,,,0,0,,,,,,,0,,
Niki Cross,,us USA,DF,30-028,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",25-308,71,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Jackson,,us USA,MF,24-281,19,0,0,0,0,,,0,0,,,,,,,0,,
Bianca Henninger,,mx MEX,GK,24-248,90,0,0,0,0,,,0,0,,,,,,,0,,
Ella Masar,,us USA,FW,29-085,90,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany McCarty,,us USA,FW,24-195,90,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,,us USA,FW,27-119,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,,us USA,DF,25-128,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,,us USA,"FW,MF",23-147,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
