Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ana-Maria Crnogorčević,7.0,ch SUI,FW,27-306,57,0,0,0,0,,,0,0,,,,,,,0,,
Caitlin Foord,9.0,au AUS,"DF,FW",23-267,33,0,0,0,0,,,1,0,,,,,,,0,,
Tobin Heath,17.0,us USA,FW,30-068,90,0,1,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,23-334,72,0,0,0,0,,,0,0,,,,,,,0,,
Andressinha,8.0,br BRA,MF,23-096,18,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,10.0,us USA,CM,24-071,90,1,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,CM,35-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,CM,24-107,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,30-003,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,26-008,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,24-253,90,0,0,0,0,,,1,0,,,,,,,0,,
Margaret Purce,23.0,us USA,RB,22-321,69,0,0,0,0,,,0,0,,,,,,,0,,
Elizabeth Ball,27.0,us USA,DF,22-289,21,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,27-266,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
