Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Carli Lloyd,10.0,us USA,FW,34-336,72,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,"FW,MF",22-118,18,1,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,FW,25-137,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Daly,3.0,eng ENG,FW,25-193,55,0,0,0,0,,,0,0,,,,,,,0,,
Andressinha,17.0,br BRA,MF,22-047,35,0,2,0,0,,,0,0,,,,,,,0,,
Morgan Gautrat,6.0,us USA,CM,24-111,82,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",23-133,8,0,0,0,0,,,0,0,,,,,,,0,,
Janine Sonis,16.0,ca CAN,CM,22-301,90,0,0,0,0,,,1,0,,,,,,,0,,
Amber Brooks,12.0,us USA,CM,26-145,90,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,22.0,us USA,LB,27-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,55.0,za RSA,CB,30-061,90,0,0,0,0,,,1,0,,,,,,,0,,
Cari Roccaro,5.0,us USA,CB,22-334,90,0,0,0,0,,,0,0,,,,,,,0,,
Poliana,2.0,br BRA,RB,26-131,90,1,0,0,0,,,0,0,,,,,,,0,,
Lydia Williams,18.0,au AUS,GK,29-035,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,2,0,,,,,,,0,,
