Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",27-357,90,0,0,0,0,1,0,0,0,0,2,,,,,0,,
Liz Bogus,,us USA,"FW,MF",30-166,90,0,0,0,0,2,1,0,0,0,1,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",29-127,90,0,0,0,0,0,0,1,0,0,1,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",26-313,70,0,0,0,0,3,2,0,0,0,1,,,,,0,,
Katrina Gorry,,au AUS,MF,21-361,20,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Sara Keane,,us USA,GK,22-063,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Morgan Marlborough,,us USA,FW,23-249,90,1,0,0,0,2,2,0,0,0,1,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",24-038,90,0,1,0,0,0,0,0,0,0,1,,,,,0,,
Nikki Phillips,,pl POL,"DF,MF",27-078,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",27-173,63,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Sarah Hagen,,us USA,FW,24-264,27,0,0,0,0,1,1,0,0,0,2,,,,,0,,
Becky Sauerbrunn,,us USA,DF,29-064,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Frances Silva,,us USA,"FW,MF",21-271,45,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Amy LePeilbet,,us USA,DF,32-150,45,0,0,0,0,0,0,0,0,1,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,13,7,1,0,4,9,,,,,0,,
