Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jazmyne Avant,5.0,us USA,DF,23-192,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Julie King,8.0,us USA,DF,23-293,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sydney Leroux,2.0,us USA,"FW,MF",23-095,90,1,0,0,0,3,2,0,0,0,0,0,0,,,,,
Joanna Lohman,11.0,us USA,"DF,MF",31-045,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kia McNeill,14.0,us USA,DF,27-087,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Carmelina Moscato,19.0,ca CAN,DF,29-100,45,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Rhian Wilkinson,7.0,ca CAN,"DF,FW",31-090,45,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alyssa Naeher,1.0,us USA,GK,25-112,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",28-220,90,0,0,0,0,2,2,0,0,0,0,0,0,,,,,
Lianne Sanderson,10.0,eng ENG,FW,25-188,90,0,0,0,0,2,1,0,0,0,0,0,0,,,,,
Kyah Simon,17.0,au AUS,"FW,MF",22-046,76,0,1,0,0,4,3,0,0,0,0,0,0,,,,,
Mariah Bullock,20.0,ws SAM,"DF,MF",22-169,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cat Whitehill,4.0,us USA,DF,31-181,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,12,8,0,0,2,0,0,0,,,,,
