Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jonelle Filigno,,ca CAN,"FW,MF",23-242,68,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Maya Hayes,,us USA,FW,22-059,22,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Katy Freels,,us USA,MF,24-046,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
CoCo Goodson,,us USA,DF,23-339,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",23-030,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Camille Levin,,us USA,DF,24-030,90,0,0,0,0,0,0,0,0,0,3,,,,,0,,
Jillian Loyden,,us USA,GK,28-333,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Ashley Nick,,us USA,MF,26-209,90,0,0,0,0,2,1,0,0,2,1,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",25-293,90,1,0,0,0,2,1,0,0,1,0,,,,,0,,
Mónica Ocampo,,mx MEX,FW,27-140,86,0,0,0,0,3,0,0,0,2,1,,,,,0,,
Meg Morris,,us USA,MF,22-013,4,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Christie Pearce,,us USA,DF,38-334,90,0,1,0,0,0,0,0,0,0,1,,,,,0,,
Sophie Schmidt,,ca CAN,MF,25-330,90,0,0,0,0,0,0,0,0,3,2,,,,,0,,
13 Players,,,,,990,1,1,0,0,9,3,0,0,10,10,,,,,0,,
