Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jodie Taylor,14.0,eng ENG,FW,31-311,90,1,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,15.0,us USA,FW,32-262,90,1,1,0,0,,,1,0,,,,,,,0,,
Nahomi Kawasumi,9.0,jp JPN,FW,32-182,61,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,22.0,us USA,"DF,FW",27-209,29,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,6.0,us USA,CM,30-223,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,17.0,us USA,CM,29-248,76,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Andrews,12.0,us USA,MF,22-364,14,0,0,0,0,,,1,0,,,,,,,0,,
Jess Fishlock,10.0,wls WAL,CM,31-069,90,0,0,0,0,,,0,0,,,,,,,0,,
Rumi Utsugi,20.0,jp JPN,LB,29-109,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Barnes,3.0,us USA,CB,28-297,90,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,25-202,90,0,0,0,0,,,0,0,,,,,,,0,,
Theresa Nielsen,8.0,dk DEN,RB,31-247,90,0,0,0,0,,,0,0,,,,,,,0,,
Michelle Betos,18.0,us USA,GK,30-032,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,2,1,0,0,,,2,0,,,,,,,0,,
