Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",23-021,90,0.0,0.0,,,2.0,0.0,,,2,0,1.0,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-029,90,0.0,0.0,,,1.0,0.0,,,3,1,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,23-014,90,0.0,0.0,,,0.0,0.0,,,2,2,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-107,68,1.0,0.0,,,1.0,1.0,,,0,2,1.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-253,22,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Britt Eckerstrom,28.0,us USA,GK,23-014,90,,,,,,,,,0,0,,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-272,90,0.0,0.0,,,1.0,1.0,,,2,0,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,22-053,90,0.0,0.0,,,2.0,0.0,,,1,1,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-142,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-104,90,0.0,1.0,,,6.0,2.0,,,2,1,0.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-246,90,0.0,0.0,,,3.0,1.0,,,0,2,0.0,,,,,,
Meredith Speck,25.0,us USA,MF,23-131,44,0.0,0.0,,,0.0,0.0,,,2,0,1.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-204,46,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
13 Players,,,,,990,1.0,1.0,,,17.0,5.0,,,16,10,3.0,,,,,,
