Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,24.0,us USA,MF,23-023,87,0.0,1.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Courtney Raetzman,15.0,us USA,MF,22-050,3,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Amanda DaCosta,13.0,pt POR,MF,26-235,60,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Taylor Comeau,7.0,us USA,DF,22-313,30,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Michele Dalton,18.0,us USA,GK,27-206,90,,,,,,,,,0,0,,,,,,,
Vanessa DiBernardo,10.0,us USA,MF,24-014,90,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Jen Hoy,2.0,us USA,"FW,MF",25-132,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Sofia Huerta,11.0,us USA,"DF,FW",23-167,90,1.0,0.0,,,4.0,2.0,,,0,2,2.0,,,,,,
Samantha Johnson,16.0,us USA,"DF,MF",24-354,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Casey Krueger,6.0,us USA,DF,25-280,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Katie Lind,5.0,us USA,DF,22-104,90,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",26-305,71,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Cara Walls,12.0,us USA,FW,22-348,19,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Arin Wright,3.0,us USA,"DF,MF",23-156,90,0.0,0.0,,,2.0,1.0,,,1,0,0.0,,,,,,
14 Players,,,,,990,1.0,1.0,,,14.0,5.0,,,7,5,2.0,,,,,,
