Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ashlyn Harris,1.0,us USA,GK,27-285,90,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Tori Huster,23.0,us USA,"DF,MF",23-311,90,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,,,,,
Holly King,20.0,us USA,MF,22-140,90,0,0,0.0,0.0,0,0,0,0,2,0,0,0.0,,,,,
Lori Lindsey,6.0,us USA,MF,33-134,90,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,,,,,
Diana Matheson,8.0,ca CAN,MF,29-116,90,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,,,,,
Stephanie Ochs,22.0,us USA,FW,22-336,90,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,,,,,
Conny Pohlers,16.0,de GER,FW,34-257,73,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Tiffany McCarty,14.0,us USA,FW,22-229,17,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Julia Roberts,13.0,us USA,MF,22-174,90,0,0,0.0,0.0,1,1,0,0,0,0,0,0.0,,,,,
Jasmyne Spencer,24.0,us USA,"DF,FW",22-338,68,0,0,0.0,0.0,0,0,0,0,1,3,0,0.0,,,,,
Ali Krieger,11.0,us USA,"DF,MF",29-003,22,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,,,,,
Lindsay Taylor,17.0,us USA,FW,23-279,30,0,0,0.0,0.0,0,0,0,0,1,1,0,0.0,,,,,
Marisa Abegg,4.0,us USA,DF,26-139,60,0,0,,,0,0,0,0,0,0,0,,,,,,
Kika Toulouse,3.0,us USA,DF,24-089,90,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
14 Players,,,,,990,0,0,0.0,0.0,1,1,0,0,4,10,1,0.0,,,,,
