Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Caroline Casey,27.0,us USA,GK,21-326,90,,,,,,,,,0,0,,,,,,,
Kelly Conheeney,24.0,us USA,MF,25-084,90,1.0,0.0,,,3.0,2.0,,,2,2,0.0,,,,,,
Shawna Gordon,2.0,us USA,MF,26-090,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Natasha Kai,32.0,us USA,FW,32-331,57,1.0,0.0,,,2.0,1.0,,,1,2,1.0,,,,,,
Kim DeCesare,12.0,us USA,"FW,MF",24-250,33,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Taylor Lytle,6.0,us USA,MF,27-017,83,0.0,0.0,,,0.0,0.0,,,0,0,1.0,,,,,,
Maya Hayes,5.0,us USA,FW,24-022,7,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kelley O'Hara,19.0,us USA,"DF,FW",27-257,90,0.0,1.0,,,1.0,1.0,,,1,2,0.0,,,,,,
Christie Pearce,3.0,us USA,DF,40-298,90,0.0,0.0,,,0.0,0.0,,,0,4,0.0,,,,,,
Raquel Rodríguez,11.0,cr CRC,"FW,MF",22-172,73,0.0,0.0,,,1.0,0.0,,,0,3,0.0,,,,,,
Ashley Nick,10.0,us USA,MF,28-173,17,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Erin Simon,33.0,us USA,DF,21-242,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Erica Skroski,8.0,us USA,DF,22-063,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sarah Woldmoe,16.0,us USA,MF,23-265,90,0.0,0.0,,,1.0,1.0,,,1,1,0.0,,,,,,
14 Players,,,,,990,2.0,1.0,,,9.0,5.0,,,6,14,2.0,,,,,,
