Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adrianna Franch,24.0,us USA,GK,22-234,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Sarah Huffman,14.0,us USA,MF,29-121,68,0,0,0,0,1,1,0,0,0,1,1,0,,,,,
Jodi-Ann Robinson,23.0,ca CAN,"FW,MF",24-078,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Estelle Johnson,12.0,cm CMR,DF,24-348,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Brittany Kolmel,13.0,us USA,DF,25-289,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",30-353,90,0,0,0,0,3,0,0,0,2,2,0,0,,,,,
Verónica Pérez,17.0,mx MEX,"DF,MF",25-047,58,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Sam Kerr,4.0,au AUS,"FW,MF",19-297,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Katherine Reynolds,16.0,us USA,DF,25-293,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Alex Sahlen,2.0,us USA,DF,30-282,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Angela Salem,6.0,us USA,"FW,MF",24-345,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Abby Wambach,20.0,us USA,FW,33-032,90,0,0,0,0,1,0,0,0,1,3,0,0,,,,,
McCall Zerboni,7.0,us USA,MF,26-203,74,0,0,0,0,0,0,0,0,2,2,0,0,,,,,
Ingrid Wells,9.0,us USA,MF,24-097,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,0,0,0,0,6,1,0,0,7,15,1,0,,,,,
