Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lindsay Agnew,8.0,ca CAN,FW,22-029,64,0,0,0,0,,,0,0,,,,,,,0,,
Crystal Thomas,13.0,us USA,FW,23-101,26,0,0,0,0,,,0,0,,,,,,,0,,
Francisca Ordega,14.0,ng NGA,FW,23-192,90,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,AM,24-065,90,0,0,0,0,,,0,0,,,,,,,0,,
Line Jensen,7.0,dk DEN,DM,25-249,73,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,MF,21-276,17,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,DM,27-218,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,DM,24-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Kleiner,22.0,us USA,DM,24-028,45,0,0,0,0,,,0,0,,,,,,,0,,
Arielle Ship,2.0,us USA,FW,21-362,45,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-187,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,23-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,CB,28-282,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Labbé,1.0,ca CAN,GK,30-201,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
