Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sarah Hagen,9.0,us USA,FW,27-162,75,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,"FW,MF",22-069,15,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,FW,25-088,89,1,0,0,0,,,0,0,,,,,,,0,,
Poliana,2.0,br BRA,DF,26-082,1,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Daly,3.0,eng ENG,FW,25-144,90,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,13.0,ie IRL,CM,23-084,90,0,1,0,0,,,0,0,,,,,,,0,,
Amber Brooks,12.0,us USA,CM,26-096,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine Sonis,16.0,ca CAN,CM,22-252,88,0,0,0,0,,,0,0,,,,,,,0,,
Cami Privett,23.0,us USA,MF,24-044,2,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,22.0,us USA,LB,27-005,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,55.0,za RSA,CB,30-012,90,0,0,0,0,,,0,0,,,,,,,0,,
Bruna,4.0,br BRA,CB,31-195,90,0,0,0,0,,,1,0,,,,,,,0,,
Cari Roccaro,5.0,us USA,RB,22-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Lydia Williams,18.0,au AUS,GK,28-351,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
