Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,2.0,us USA,DF,28-172,90,0,0,0,0,0,0,0,0,0,1,1,0,,,,,
Becky Edwards,14.0,us USA,"DF,MF",24-359,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-047,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-276,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",24-348,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Alex Morgan,13.0,us USA,FW,23-318,90,0,0,0,0,5,2,0,0,2,1,4,0,,,,,
Meleana Shim,6.0,us USA,MF,21-233,62,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-188,28,0,0,0,0,1,0,0,0,0,0,1,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",29-338,90,0,0,0,0,4,2,1,0,1,0,1,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-263,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Nikki Washington,21.0,us USA,"FW,MF",24-288,84,0,0,0,0,1,1,0,0,0,3,1,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-048,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-288,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
13 Players,,,,,990,0,0,0,0,11,5,1,0,5,10,8,0,,,,,
