Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Katie Johnson,14.0,mx MEX,FW,23-267,90,0,0,0,0,,,0,0,,,,,,,0,,
Imani Dorsey,28.0,us USA,FW,22-079,70,0,0,0,0,,,0,0,,,,,,,0,,
Michaela Abam,24.0,cm CMR,FW,20-361,20,0,0,0,0,,,0,0,,,,,,,0,,
Madison Tiernan,73.0,us USA,FW,22-340,85,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,9.0,us USA,DF,26-010,5,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,6.0,us USA,CM,25-096,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,CM,25-316,90,0,0,0,0,,,1,0,,,,,,,0,,
McKenzie Meehan,2.0,us USA,CM,23-165,90,0,0,0,0,,,1,0,,,,,,,0,,
Erica Skroski,8.0,us USA,LB,24-114,90,0,0,0,0,,,0,0,,,,,,,0,,
Domi Richardson,17.0,us USA,CB,25-233,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,23-077,90,0,0,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,RB,23-160,90,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,22-327,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
