Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Hayley Brock,,us USA,FW,21-277,83,1,0,0,0,3,2,0,0,1,0,,,,,0,,
Niki Read,,us USA,FW,22-162,7,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lori Chalupny,,us USA,MF,30-098,90,0,0,0,0,4,1,0,0,3,2,,,,,0,,
Vanessa DiBernardo,,us USA,MF,21-357,90,0,0,0,0,1,1,0,0,2,0,,,,,0,,
Jen Hoy,,us USA,"FW,MF",23-109,90,0,0,0,0,2,0,1,0,2,2,,,,,0,,
Samantha Johnson,,us USA,"DF,MF",22-331,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Alyssa Mautz,,us USA,"FW,MF",24-282,45,0,0,0,0,1,1,1,0,2,0,,,,,0,,
Michelle Lomnicki,,us USA,DF,27-004,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kecia Morway,,us USA,DF,22-255,90,0,0,0,0,1,0,0,0,1,1,,,,,0,,
Rachel Quon,,ca CAN,DF,22-351,90,0,0,0,0,0,0,0,0,2,1,,,,,0,,
Jackie Santacaterina,,us USA,DF,26-129,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Julianne Sitch,,us USA,"DF,MF",30-231,45,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Zakiya Bywaters,,us USA,FW,22-287,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Taylor Vancil,,us USA,GK,22-354,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
14 Players,,,,,990,1,0,0,0,13,6,2,0,15,8,,,,,0,,
