Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,13.0,us USA,"DF,MF",26-293,90,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
Nicole Barnhart,18.0,us USA,GK,31-239,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",28-063,90,0,0,0,0,0,0,0,0,3,0,0,0,,,,,
Renae Cuéllar,10.0,mx MEX,FW,22-347,36,0,0,0,0,1,1,0,0,0,1,0,0,,,,,
Courtney Jones,8.0,us USA,"DF,FW",23-016,54,0,0,0,0,2,1,0,0,1,0,0,0,,,,,
Sinead Farrelly,17.0,ie IRL,MF,23-202,90,0,0,0,0,3,1,0,0,0,1,1,0,,,,,
Lauren Holiday,12.0,us USA,"FW,MF",25-249,90,2,0,1,1,8,3,0,0,3,2,0,0,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",22-339,90,0,0,0,0,0,0,1,0,2,1,0,0,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",22-101,90,0,0,0,0,1,1,0,0,0,4,0,0,,,,,
Becky Sauerbrunn,4.0,us USA,DF,28-000,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Desiree Scott,11.0,ca CAN,MF,25-310,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",21-303,90,1,0,0,0,2,1,0,0,0,0,0,0,,,,,
12 Players,,,,,990,3,2,1,1,17,8,1,0,10,11,1,0,,,,,
