Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,33-328,90,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,FW,29-124,73,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,"DF,FW",23-032,17,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,22-243,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,CM,29-266,90,1,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,22-345,90,0,0,0,0,,,1,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,CM,27-220,90,0,0,0,0,,,1,0,,,,,,,0,,
Meghan Cox,27.0,us USA,LB,22-172,45,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,"DF,MF",28-277,45,0,1,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-282,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-162,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,RB,23-016,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-175,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
