Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,2.0,us USA,DF,28-181,90,0,0,0,0,0,0,1,0,1,0,0,0,,,,,
Becky Edwards,14.0,us USA,"DF,MF",25-003,90,0,0,0,0,0,0,1,0,4,1,0,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-057,75,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-089,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-056,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-285,90,0,0,0,0,2,0,0,0,3,1,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",24-357,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Alex Morgan,13.0,us USA,FW,23-327,90,0,0,0,0,2,1,1,0,2,2,1,0,,,,,
Meleana Shim,6.0,us USA,MF,21-242,66,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-197,24,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",29-347,90,1,0,1,1,6,1,0,0,1,0,0,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-272,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-297,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
13 Players,,,,,990,1,0,1,1,13,3,3,0,12,7,1,0,,,,,
