Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",23-109,90,1.0,0.0,,,4.0,2.0,,,0,1,0.0,,,,,,
Sabrina D'Angelo,1.0,ca CAN,GK,23-119,90,,,,,,,,,0,0,,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-117,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,23-102,90,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-360,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-292,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-230,70,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-281,20,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-192,90,1.0,0.0,,,2.0,2.0,,,2,0,1.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-334,90,0.0,0.0,,,2.0,0.0,,,0,3,0.0,,,,,,
Lianne Sanderson,10.0,eng ENG,FW,28-217,59,0.0,0.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-195,31,0.0,1.0,,,3.0,1.0,,,0,1,0.0,,,,,,
McCall Zerboni,7.0,us USA,MF,29-269,90,0.0,0.0,,,1.0,1.0,0.0,0.0,1,1,0.0,,,,,,
13 Players,,,,,990,2.0,1.0,,,14.0,6.0,0.0,0.0,6,11,1.0,,,,,,
