Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jodie Taylor,14.0,eng ENG,FW,32-030,90,0,0,0,0,,,1,0,,,,,,,0,,
Megan Rapinoe,15.0,us USA,AM,32-346,90,0,0,0,1,,,0,0,,,,,,,0,,
Beverly Yanez,17.0,us USA,AM,29-332,70,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,22.0,us USA,"DF,FW",27-293,20,0,0,0,0,,,0,0,,,,,,,0,,
Elizabeth Addo,11.0,gh GHA,AM,24-288,90,0,0,0,0,,,1,0,,,,,,,0,,
Rumi Utsugi,20.0,jp JPN,DM,29-193,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,6.0,us USA,DM,30-307,90,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,24-141,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Barnes,3.0,us USA,CB,29-016,76,0,0,0,0,,,0,0,,,,,,,0,,
Kristen McNabb,19.0,us USA,"DF,MF",24-060,14,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,25-286,90,0,0,0,0,,,0,0,,,,,,,0,,
Theresa Nielsen,8.0,dk DEN,RB,31-331,90,0,0,0,0,,,0,0,,,,,,,0,,
Lydia Williams,1.0,au AUS,GK,30-034,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,1,,,2,0,,,,,,,0,,
