Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,26-343,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Rachel Corsie,4.0,sct SCO,"DF,MF",26-265,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-184,66,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Michelle Cruz,21.0,us USA,DF,23-360,24,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",25-314,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",25-311,79,0.0,0.0,,,1.0,0.0,,,0,0,5.0,,,,,,
Havana Solaun,19.0,jm JAM,MF,23-075,11,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",29-251,64,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Lindsay Elston,6.0,us USA,"FW,MF",24-008,26,0.0,0.0,,,0.0,0.0,,,1,0,1.0,,,,,,
Carson Pickett,16.0,us USA,DF,22-236,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Elli Reed,7.0,us USA,"DF,MF",26-272,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Hope Solo,1.0,us USA,GK,34-283,90,,,,,,,,,0,0,,,,,,,
Keelin Winters,11.0,us USA,MF,27-151,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Beverly Yanez,,us USA,"FW,MF",27-294,90,0.0,0.0,,,2.0,1.0,,,0,2,0.0,,,,,,
14 Players,,,,,990,0.0,0.0,,,4.0,1.0,,,7,5,6.0,,,,,,
