Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Janine Sonis,16.0,ca CAN,FW,22-287,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,FW,25-123,90,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,FW,22-104,66,0,0,0,0,,,0,0,,,,,,,0,,
Poliana,2.0,br BRA,DF,26-117,24,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,13.0,ie IRL,CM,23-119,79,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Hagen,9.0,us USA,FW,27-197,11,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Gautrat,6.0,us USA,CM,24-097,90,0,0,0,0,,,0,0,,,,,,,0,,
Andressinha,17.0,br BRA,CM,22-033,90,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,22.0,us USA,LB,27-040,90,0,0,0,0,,,0,0,,,,,,,0,,
Cari Roccaro,5.0,us USA,CB,22-320,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,12.0,us USA,CB,26-131,90,0,0,0,0,,,1,0,,,,,,,0,,
Rachel Daly,3.0,eng ENG,RB,25-179,90,0,0,0,0,,,0,0,,,,,,,0,,
Lydia Williams,18.0,au AUS,GK,29-021,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,1,0,,,,,,,0,,
