Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Katie Stengel,24.0,us USA,FW,26-051,90,1,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,AM,24-006,90,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,AM,24-073,84,1,0,0,0,,,1,0,,,,,,,0,,
Diana Matheson,10.0,ca CAN,MF,34-015,6,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,AM,25-034,68,0,0,0,0,,,0,0,,,,,,,0,,
Amy Rodriguez,8.0,us USA,"FW,MF",31-063,22,0,0,0,0,,,0,0,,,,,,,0,,
Gunnhildur Yrsa Jónsdóttir,23.0,is ISL,DM,29-205,90,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-264,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,5.0,us USA,LB,29-260,68,0,0,0,0,,,0,0,,,,,,,0,,
Elise Thorsnes,20.0,no NOR,FW,29-250,22,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,32-319,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,2.0,sct SCO,CB,28-247,90,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Miramontez,17.0,us USA,RB,23-192,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,1.0,us USA,GK,24-199,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,0,0,0,,,1,0,,,,,,,0,,
