Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,FW,24-013,90,0,1,0,0,,,0,0,,,,,,,0,,
Ashley Hatch,12.0,us USA,FW,22-009,75,1,0,0,0,,,1,0,,,,,,,0,,
Elizabeth Eddy,4.0,us USA,"DF,MF",25-263,15,0,0,0,0,,,0,0,,,,,,,0,,
Makenzy Doniak,3.0,us USA,CB,23-098,69,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,"FW,MF",25-047,21,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,30-172,90,1,0,0,0,,,1,0,,,,,,,0,,
Sam Mewis,5.0,us USA,CM,24-237,90,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,RM,25-226,85,0,0,0,0,,,0,0,,,,,,,0,,
Rosana,8.0,br BRA,"DF,FW",34-331,5,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-006,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,27-195,90,0,1,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,LM,24-021,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,11.0,us USA,RB,23-184,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,99.0,us USA,GK,23-079,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,2,0,,,,,,,0,,
