Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Whitney Church,,us USA,DF,22-023,90,0,0,0,0,,,0,0,,,,,,,0,,
Amanda DaCosta,,pt POR,MF,25-228,88,0,0,0,0,,,0,0,,,,,,,0,,
Caroline Miller,,us USA,FW,23-311,2,0,0,0,0,,,0,0,,,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",22-324,90,1,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,,us USA,"DF,MF",25-242,65,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,,us USA,DF,21-277,25,0,0,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,,cm CMR,DF,26-306,90,0,0,0,0,,,0,0,,,,,,,0,,
Joanna Lohman,,us USA,"DF,MF",32-331,55,0,0,0,0,,,0,0,,,,,,,0,,
Laura del Río,,es ESP,FW,32-107,35,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,,us USA,MF,24-240,90,1,1,1,1,,,1,0,,,,,,,0,,
Megan Oyster,,us USA,DF,22-262,90,0,0,0,0,,,1,0,,,,,,,0,,
Katherine Reynolds,,us USA,DF,27-251,90,0,0,0,0,,,0,0,,,,,,,0,,
Angela Salem,,us USA,"FW,MF",26-303,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelsey Wys,,us USA,GK,24-108,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,1,1,,,2,0,,,,,,,0,,
