Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-144,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-190,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-018,90,1,0,0,0,,,0,0,,,,,,,0,,
Shawna Gordon,,us USA,MF,25-098,59,0,0,0,0,,,0,0,,,,,,,0,,
Meg Morris,,us USA,MF,22-350,31,0,0,0,0,,,0,0,,,,,,,0,,
Kristin Grubka,,us USA,DF,22-130,75,0,0,0,0,,,0,0,,,,,,,0,,
Kim DeCesare,,us USA,"FW,MF",23-258,15,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,,us USA,FW,23-031,90,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-002,66,0,0,0,0,,,0,0,,,,,,,0,,
Hayley McCall,,us USA,DF,23-043,24,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",27-114,90,0,1,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",26-265,90,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,,us USA,DF,39-306,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,,us USA,MF,22-273,90,0,0,0,0,,,1,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
